,ct1,ct2,ID,Statistic,U,pvalue,n_adenoma_ROIs,n_cancer_ROIs,median_adenoma,median_carcinoma,newindex,StatisticType,StatType,UniqueStatID
14,A,B,0,TCM_A-B_H1-death-sd,540.0,0.2769761627716356,21,44,7.264261542229517,8.117823450538184,0_A-B,TCM,TCM_H1-death-sd,0_TCM_A-B_H1-death-sd
15,A,B,0,TCM_A-B_H1-persistence-mean,502.0,0.5795177311020314,21,44,10.483469016022152,9.06578986281934,0_A-B,TCM,TCM_H1-persistence-mean,0_TCM_A-B_H1-persistence-mean
16,A,B,0,TCM_A-B_H1-persistence-sd,510.0,0.5052130260312899,21,44,7.74554361365715,10.230548938545924,0_A-B,TCM,TCM_H1-persistence-sd,0_TCM_A-B_H1-persistence-sd
17,A,B,1,WassersteinDistance_A-B,340.0,0.03945909922495714,41,24,42.91531013384522,64.73190174265093,1_A-B,WassersteinDistance,WassersteinDistance,1_WassersteinDistance_A-B
18,A,B,1,PCF_A-B_gmax,984.0,2.3723859669362502e-11,41,24,3.170686401119363,1.0315307596152192,1_A-B,PCF,PCF_gmax,1_PCF_A-B_gmax
19,A,B,1,PCF_A-B_rpeak,0.0,1.0738787629824032e-11,41,24,5.0,112.5,1_A-B,PCF,PCF_rpeak,1_PCF_A-B_rpeak
20,A,B,1,PCF_A-B_gmin,984.0,2.3723859669362502e-11,41,24,0.9868156514828608,0.1587586562254773,1_A-B,PCF,PCF_gmin,1_PCF_A-B_gmin
21,A,B,1,PCF_A-B_rtrough,984.0,1.6276970069108507e-11,41,24,130.0,0.0,1_A-B,PCF,PCF_rtrough,1_PCF_A-B_rtrough
22,A,B,1,PCF_A-B_int0_20,984.0,2.3723859669362502e-11,41,24,60.7364314305299,4.964716238800448,1_A-B,PCF,PCF_int0_20,1_PCF_A-B_int0_20
23,A,B,1,PCF_A-B_int0_40,984.0,2.3723859669362502e-11,41,24,102.3901299455912,17.97410083541246,1_A-B,PCF,PCF_int0_40,1_PCF_A-B_int0_40
24,A,B,1,PCF_A-B_int0_100,984.0,2.3723859669362502e-11,41,24,187.41512797336952,72.94802690753797,1_A-B,PCF,PCF_int0_100,1_PCF_A-B_int0_100
25,A,B,1,TCM_A-B_H0-nBars,393.0,0.18006967229996662,41,24,16.0,18.5,1_A-B,TCM,TCM_H0-nBars,1_TCM_A-B_H0-nBars
26,A,B,1,TCM_A-B_H1-nBars,441.5,0.49536510867281247,41,24,16.0,17.0,1_A-B,TCM,TCM_H1-nBars,1_TCM_A-B_H1-nBars
27,A,B,1,TCM_A-B_H0-death-mean,662.0,0.021220161844319164,41,24,11.915162133425476,6.615166422533683,1_A-B,TCM,TCM_H0-death-mean,1_TCM_A-B_H0-death-mean
28,A,B,1,TCM_A-B_H0-death-sd,597.0,0.1554658240697212,41,24,14.595223229362505,8.036624223268209,1_A-B,TCM,TCM_H0-death-sd,1_TCM_A-B_H0-death-sd
29,A,B,1,TCM_A-B_H1-birth-mean,665.0,0.019036075515591694,41,24,23.544979731241863,11.891368301291216,1_A-B,TCM,TCM_H1-birth-mean,1_TCM_A-B_H1-birth-mean
30,A,B,1,TCM_A-B_H1-death-mean,612.0,0.10429363378547597,41,24,32.07171754276051,18.03122530395823,1_A-B,TCM,TCM_H1-death-mean,1_TCM_A-B_H1-death-mean
31,A,B,1,TCM_A-B_H1-death-sd,552.0,0.418633486271076,41,24,12.651677053798908,4.662503368715136,1_A-B,TCM,TCM_H1-death-sd,1_TCM_A-B_H1-death-sd
32,A,B,1,TCM_A-B_H1-persistence-mean,592.0,0.17620853639834022,41,24,12.077799967357093,5.603709638118744,1_A-B,TCM,TCM_H1-persistence-mean,1_TCM_A-B_H1-persistence-mean
33,A,B,1,TCM_A-B_H1-persistence-sd,558.0,0.37327617309688554,41,24,13.685344591704656,5.621380998655515,1_A-B,TCM,TCM_H1-persistence-sd,1_TCM_A-B_H1-persistence-sd
34,A,B,2,WassersteinDistance_A-B,194.0,1.3477341082005335e-07,29,48,41.75235891878593,107.62851366126762,2_A-B,WassersteinDistance,WassersteinDistance,2_WassersteinDistance_A-B
35,A,B,2,PCF_A-B_gmax,1308.0,1.2873736401174536e-10,29,48,2.8122637764705654,1.117650775435586,2_A-B,PCF,PCF_gmax,2_PCF_A-B_gmax
36,A,B,2,PCF_A-B_rpeak,373.0,0.0005868403978246892,29,48,10.0,57.5,2_A-B,PCF,PCF_rpeak,2_PCF_A-B_rpeak
37,A,B,2,PCF_A-B_gmin,1049.0,0.0002107185189482835,29,48,1.002648824296123,0.8993796645359842,2_A-B,PCF,PCF_gmin,2_PCF_A-B_gmin
38,A,B,2,PCF_A-B_rtrough,1155.0,1.3642607540168546e-06,29,48,115.0,57.5,2_A-B,PCF,PCF_rtrough,2_PCF_A-B_rtrough
39,A,B,2,PCF_A-B_int0_20,1333.0,2.2092638064510077e-11,29,48,53.73892508559947,20.01444239352174,2_A-B,PCF,PCF_int0_20,2_PCF_A-B_int0_20
40,A,B,2,PCF_A-B_int0_40,1322.0,4.8380337999353306e-11,29,48,95.7052651388096,40.314783521253545,2_A-B,PCF,PCF_int0_40,2_PCF_A-B_int0_40
41,A,B,2,PCF_A-B_int0_100,1277.0,1.0425565416429702e-09,29,48,173.51449313523722,100.89699106451184,2_A-B,PCF,PCF_int0_100,2_PCF_A-B_int0_100
42,A,B,2,TCM_A-B_H0-nBars,959.5,0.005607160642028786,29,48,18.0,13.5,2_A-B,TCM,TCM_H0-nBars,2_TCM_A-B_H0-nBars
43,A,B,2,TCM_A-B_H1-nBars,1059.5,0.00013114684407158683,29,48,17.0,11.0,2_A-B,TCM,TCM_H1-nBars,2_TCM_A-B_H1-nBars
44,A,B,2,TCM_A-B_H0-death-mean,1068.0,9.40101977936294e-05,29,48,11.063453575689346,2.4702050243081017,2_A-B,TCM,TCM_H0-death-mean,2_TCM_A-B_H0-death-mean
45,A,B,2,TCM_A-B_H0-death-sd,647.0,0.6101376191998806,29,48,15.817363763229404,17.84016207688159,2_A-B,TCM,TCM_H0-death-sd,2_TCM_A-B_H0-death-sd
46,A,B,2,TCM_A-B_H1-birth-mean,1101.0,2.1141656315787704e-05,29,48,23.44362735748291,9.149914638201395,2_A-B,TCM,TCM_H1-birth-mean,2_TCM_A-B_H1-birth-mean
47,A,B,2,TCM_A-B_H1-death-mean,964.0,0.004920262409611162,29,48,33.72729503407198,18.345839449337547,2_A-B,TCM,TCM_H1-death-mean,2_TCM_A-B_H1-death-mean
48,A,B,2,TCM_A-B_H1-death-sd,676.0,0.8375704822796197,29,48,15.184926723948823,16.039629957516222,2_A-B,TCM,TCM_H1-death-sd,2_TCM_A-B_H1-death-sd
49,A,B,2,TCM_A-B_H1-persistence-mean,762.0,0.49107703150670023,29,48,12.261288483937582,10.138989711801212,2_A-B,TCM,TCM_H1-persistence-mean,2_TCM_A-B_H1-persistence-mean
50,A,B,2,TCM_A-B_H1-persistence-sd,758.0,0.5179264039296242,29,48,16.356798896004708,12.52634333752279,2_A-B,TCM,TCM_H1-persistence-sd,2_TCM_A-B_H1-persistence-sd
51,A,B,3,WassersteinDistance_A-B,148.0,0.056442780971475266,16,13,63.22365597306633,42.76450935748895,3_A-B,WassersteinDistance,WassersteinDistance,3_WassersteinDistance_A-B
52,A,B,3,PCF_A-B_gmax,0.0,5.658190325651858e-06,16,13,1.0312994732492295,3.5687193768901366,3_A-B,PCF,PCF_gmax,3_PCF_A-B_gmax
53,A,B,3,PCF_A-B_rpeak,208.0,4.433861699036433e-06,16,13,87.5,0.0,3_A-B,PCF,PCF_rpeak,3_PCF_A-B_rpeak
54,A,B,3,PCF_A-B_gmin,0.0,5.658190325651858e-06,16,13,0.1369184393780862,0.9814079983432168,3_A-B,PCF,PCF_gmin,3_PCF_A-B_gmin
55,A,B,3,PCF_A-B_rtrough,0.0,3.853824758842676e-06,16,13,10.0,125.0,3_A-B,PCF,PCF_rtrough,3_PCF_A-B_rtrough
56,A,B,3,PCF_A-B_int0_20,0.0,5.658190325651858e-06,16,13,5.486441600229762,68.27268591186267,3_A-B,PCF,PCF_int0_20,3_PCF_A-B_int0_20
57,A,B,3,PCF_A-B_int0_40,0.0,5.658190325651858e-06,16,13,20.910688629079953,117.72364360072012,3_A-B,PCF,PCF_int0_40,3_PCF_A-B_int0_40
58,A,B,3,PCF_A-B_int0_100,0.0,5.658190325651858e-06,16,13,77.5025218240556,207.5703343357426,3_A-B,PCF,PCF_int0_100,3_PCF_A-B_int0_100
59,A,B,3,TCM_A-B_H0-nBars,127.5,0.31100361941612464,16,13,18.5,15.0,3_A-B,TCM,TCM_H0-nBars,3_TCM_A-B_H0-nBars
60,A,B,3,TCM_A-B_H1-nBars,122.5,0.4284237077994121,16,13,19.5,15.0,3_A-B,TCM,TCM_H1-nBars,3_TCM_A-B_H1-nBars
61,A,B,3,TCM_A-B_H0-death-mean,47.0,0.013223638757654177,16,13,5.543781441450119,10.561899256699071,3_A-B,TCM,TCM_H0-death-mean,3_TCM_A-B_H0-death-mean
62,A,B,3,TCM_A-B_H0-death-sd,59.0,0.05100305209942756,16,13,6.3137621792873215,14.577957101581571,3_A-B,TCM,TCM_H0-death-sd,3_TCM_A-B_H0-death-sd
63,A,B,3,TCM_A-B_H1-birth-mean,41.0,0.006128862494315107,16,13,11.09741064305362,19.88995945453644,3_A-B,TCM,TCM_H1-birth-mean,3_TCM_A-B_H1-birth-mean
64,A,B,3,TCM_A-B_H1-death-mean,39.0,0.004676493142639932,16,13,15.703081119847589,35.9523120359941,3_A-B,TCM,TCM_H1-death-mean,3_TCM_A-B_H1-death-mean
65,A,B,3,TCM_A-B_H1-death-sd,76.0,0.22783492811640083,16,13,3.8514618837992196,14.245452975797091,3_A-B,TCM,TCM_H1-death-sd,3_TCM_A-B_H1-death-sd
66,A,B,3,TCM_A-B_H1-persistence-mean,48.0,0.014939762203436983,16,13,2.8230401277542114,16.269079465132492,3_A-B,TCM,TCM_H1-persistence-mean,3_TCM_A-B_H1-persistence-mean
67,A,B,3,TCM_A-B_H1-persistence-sd,60.0,0.056442780971475266,16,13,4.748876263724158,16.58366447003423,3_A-B,TCM,TCM_H1-persistence-sd,3_TCM_A-B_H1-persistence-sd
68,A,B,4,WassersteinDistance_A-B,241.0,0.9905970579354039,24,20,71.94826074179885,72.91700158044625,4_A-B,WassersteinDistance,WassersteinDistance,4_WassersteinDistance_A-B
69,A,B,4,PCF_A-B_gmax,252.0,0.7863467318706588,24,20,1.0351266921504476,1.0254689432501265,4_A-B,PCF,PCF_gmax,4_PCF_A-B_gmax
70,A,B,4,PCF_A-B_rpeak,220.0,0.644773565394893,24,20,117.5,120.0,4_A-B,PCF,PCF_rpeak,4_PCF_A-B_rpeak
71,A,B,4,PCF_A-B_gmin,206.0,0.429759905527459,24,20,0.1086674861593668,0.132134556462079,4_A-B,PCF,PCF_gmin,4_PCF_A-B_gmin
72,A,B,4,PCF_A-B_rtrough,234.5,0.8971838044250723,24,20,0.0,5.0,4_A-B,PCF,PCF_rtrough,4_PCF_A-B_rtrough
73,A,B,4,PCF_A-B_int0_20,214.0,0.5478128358005985,24,20,3.846248914296952,3.855189325966532,4_A-B,PCF,PCF_int0_20,4_PCF_A-B_int0_20
74,A,B,4,PCF_A-B_int0_40,226.0,0.750334710669989,24,20,13.441190562326856,16.1437310880379,4_A-B,PCF,PCF_int0_40,4_PCF_A-B_int0_40
75,A,B,4,PCF_A-B_int0_100,213.0,0.5322264048962642,24,20,64.74576607520788,71.26960761546144,4_A-B,PCF,PCF_int0_100,4_PCF_A-B_int0_100
76,A,B,4,TCM_A-B_H0-nBars,200.5,0.357105149677996,24,20,16.5,19.0,4_A-B,TCM,TCM_H0-nBars,4_TCM_A-B_H0-nBars
77,A,B,4,TCM_A-B_H1-nBars,207.5,0.44940388919129926,24,20,14.5,16.0,4_A-B,TCM,TCM_H1-nBars,4_TCM_A-B_H1-nBars
78,A,B,4,TCM_A-B_H0-death-mean,212.0,0.5168677495508638,24,20,4.7430909724001875,9.81281089770934,4_A-B,TCM,TCM_H0-death-mean,4_TCM_A-B_H0-death-mean
79,A,B,4,TCM_A-B_H0-death-sd,235.0,0.9155299733767719,24,20,11.552014790350874,10.781695457065133,4_A-B,TCM,TCM_H0-death-sd,4_TCM_A-B_H0-death-sd
80,A,B,4,TCM_A-B_H1-birth-mean,201.0,0.36416692171205234,24,20,8.405394440422969,15.445329398910204,4_A-B,TCM,TCM_H1-birth-mean,4_TCM_A-B_H1-birth-mean
81,A,B,4,TCM_A-B_H1-death-mean,207.0,0.4436570559117131,24,20,19.234774608533463,28.452010835920063,4_A-B,TCM,TCM_H1-death-mean,4_TCM_A-B_H1-death-mean
82,A,B,4,TCM_A-B_H1-death-sd,249.0,0.8412092684319599,24,20,11.395271104988282,11.261016306007368,4_A-B,TCM,TCM_H1-death-sd,4_TCM_A-B_H1-death-sd
83,A,B,4,TCM_A-B_H1-persistence-mean,243.0,0.953011395422729,24,20,10.38883920071961,7.765287766193797,4_A-B,TCM,TCM_H1-persistence-mean,4_TCM_A-B_H1-persistence-mean
84,A,B,4,TCM_A-B_H1-persistence-sd,243.0,0.953011395422729,24,20,10.856390223169054,11.502196344109297,4_A-B,TCM,TCM_H1-persistence-sd,4_TCM_A-B_H1-persistence-sd
85,A,B,5,WassersteinDistance_A-B,896.0,0.8089074060398543,43,43,84.92779238488149,97.05102807478168,5_A-B,WassersteinDistance,WassersteinDistance,5_WassersteinDistance_A-B
86,A,B,5,PCF_A-B_gmax,529.0,0.0006457995844229671,43,43,1.029747737223306,1.092324175986435,5_A-B,PCF,PCF_gmax,5_PCF_A-B_gmax
87,A,B,5,PCF_A-B_rpeak,1382.5,7.440718153062097e-05,43,43,120.0,35.0,5_A-B,PCF,PCF_rpeak,5_PCF_A-B_rpeak
88,A,B,5,PCF_A-B_gmin,41.0,2.4060746804993876e-14,43,43,0.1256232094835846,0.8925330742467329,5_A-B,PCF,PCF_gmin,5_PCF_A-B_gmin
89,A,B,5,PCF_A-B_rtrough,355.5,4.6963812750075883e-07,43,43,5.0,40.0,5_A-B,PCF,PCF_rtrough,5_PCF_A-B_rtrough
90,A,B,5,PCF_A-B_int0_20,53.0,5.3607022343186097e-14,43,43,3.807131765580072,19.99790682945508,5_A-B,PCF,PCF_int0_20,5_PCF_A-B_int0_20
91,A,B,5,PCF_A-B_int0_40,118.0,3.368695594869362e-12,43,43,14.808193777117133,39.87167690094071,5_A-B,PCF,PCF_int0_40,5_PCF_A-B_int0_40
92,A,B,5,PCF_A-B_int0_100,189.0,2.1786366652104936e-10,43,43,66.74225932917174,99.43820538686413,5_A-B,PCF,PCF_int0_100,5_PCF_A-B_int0_100
93,A,B,5,TCM_A-B_H0-nBars,1053.5,0.26621693935990176,43,43,16.0,15.0,5_A-B,TCM,TCM_H0-nBars,5_TCM_A-B_H0-nBars
94,A,B,5,TCM_A-B_H1-nBars,1215.0,0.0120872712664308,43,43,15.0,13.0,5_A-B,TCM,TCM_H1-nBars,5_TCM_A-B_H1-nBars
95,A,B,5,TCM_A-B_H0-death-mean,1086.0,0.1643601710016387,43,43,6.5958502521881694,5.2277015945098055,5_A-B,TCM,TCM_H0-death-mean,5_TCM_A-B_H0-death-mean
96,A,B,5,TCM_A-B_H0-death-sd,776.0,0.20115251966500192,43,43,11.694059734236438,16.869971365275457,5_A-B,TCM,TCM_H0-death-sd,5_TCM_A-B_H0-death-sd
97,A,B,5,TCM_A-B_H1-birth-mean,960.0,0.7624273903817478,43,43,11.823164193676067,9.254610392730685,5_A-B,TCM,TCM_H1-birth-mean,5_TCM_A-B_H1-birth-mean
98,A,B,5,TCM_A-B_H1-death-mean,852.0,0.5340316550623793,43,43,16.887944475809732,22.393631542531345,5_A-B,TCM,TCM_H1-death-mean,5_TCM_A-B_H1-death-mean
99,A,B,5,TCM_A-B_H1-death-sd,799.0,0.28030962324631814,43,43,7.641290198611199,14.532361835318548,5_A-B,TCM,TCM_H1-death-sd,5_TCM_A-B_H1-death-sd
100,A,B,5,TCM_A-B_H1-persistence-mean,822.0,0.3783323082198454,43,43,6.737025651666853,7.918810685475667,5_A-B,TCM,TCM_H1-persistence-mean,5_TCM_A-B_H1-persistence-mean
101,A,B,5,TCM_A-B_H1-persistence-sd,836.0,0.4472215077746703,43,43,6.930121680847233,7.9490948466379825,5_A-B,TCM,TCM_H1-persistence-sd,5_TCM_A-B_H1-persistence-sd
102,A,B,6,WassersteinDistance_A-B,1514.0,2.7682780747620273e-07,46,40,117.2834588268224,41.72928735279842,6_A-B,WassersteinDistance,WassersteinDistance,6_WassersteinDistance_A-B
103,A,B,6,PCF_A-B_gmax,163.0,5.7596862444936314e-11,46,40,1.13200113544631,3.046752584886873,6_A-B,PCF,PCF_gmax,6_PCF_A-B_gmax
104,A,B,6,PCF_A-B_rpeak,1506.0,2.4578928100926195e-07,46,40,37.5,5.0,6_A-B,PCF,PCF_rpeak,6_PCF_A-B_rpeak
105,A,B,6,PCF_A-B_gmin,259.0,1.0736214192146616e-08,46,40,0.8588133626728764,0.9917692154046698,6_A-B,PCF,PCF_gmin,6_PCF_A-B_gmin
106,A,B,6,PCF_A-B_rtrough,353.0,8.77864139466489e-07,46,40,47.5,115.0,6_A-B,PCF,PCF_rtrough,6_PCF_A-B_rtrough
107,A,B,6,PCF_A-B_int0_20,79.0,3.4101061597337964e-13,46,40,20.14451597178237,58.592973219664835,6_A-B,PCF,PCF_int0_20,6_PCF_A-B_int0_20
108,A,B,6,PCF_A-B_int0_40,120.0,4.448625078998036e-12,46,40,40.19695166797345,101.1321221518908,6_A-B,PCF,PCF_int0_40,6_PCF_A-B_int0_40
109,A,B,6,PCF_A-B_int0_100,178.0,1.362980013090246e-10,46,40,100.21154186604207,176.77936781908207,6_A-B,PCF,PCF_int0_100,6_PCF_A-B_int0_100
110,A,B,6,TCM_A-B_H0-nBars,696.5,0.05311819269571778,46,40,13.0,18.5,6_A-B,TCM,TCM_H0-nBars,6_TCM_A-B_H0-nBars
111,A,B,6,TCM_A-B_H1-nBars,595.0,0.004888051897161602,46,40,12.0,16.5,6_A-B,TCM,TCM_H1-nBars,6_TCM_A-B_H1-nBars
112,A,B,6,TCM_A-B_H0-death-mean,482.0,0.00015191724008201384,46,40,2.4641750761691266,9.68293242581991,6_A-B,TCM,TCM_H0-death-mean,6_TCM_A-B_H0-death-mean
113,A,B,6,TCM_A-B_H0-death-sd,1035.0,0.32151408098597856,46,40,17.379262571825272,10.746638340798077,6_A-B,TCM,TCM_H0-death-sd,6_TCM_A-B_H0-death-sd
114,A,B,6,TCM_A-B_H1-birth-mean,396.0,5.828691504625312e-06,46,40,5.928727796766907,19.930368507091814,6_A-B,TCM,TCM_H1-birth-mean,6_TCM_A-B_H1-birth-mean
115,A,B,6,TCM_A-B_H1-death-mean,599.0,0.005521566561756142,46,40,17.829232858105872,26.659522240956623,6_A-B,TCM,TCM_H1-death-mean,6_TCM_A-B_H1-death-mean
116,A,B,6,TCM_A-B_H1-death-sd,1026.0,0.361017236576718,46,40,11.177015668555377,10.521774449072062,6_A-B,TCM,TCM_H1-death-sd,6_TCM_A-B_H1-death-sd
117,A,B,6,TCM_A-B_H1-persistence-mean,884.0,0.7585677061384327,46,40,7.53825416146881,8.515472215414047,6_A-B,TCM,TCM_H1-persistence-mean,6_TCM_A-B_H1-persistence-mean
118,A,B,6,TCM_A-B_H1-persistence-sd,897.0,0.845544026272022,46,40,9.192808362054025,9.440747705960343,6_A-B,TCM,TCM_H1-persistence-sd,6_TCM_A-B_H1-persistence-sd
119,A,B,7,WassersteinDistance_A-B,376.0,0.34976062479493186,46,14,112.39614781254383,105.05699559847872,7_A-B,WassersteinDistance,WassersteinDistance,7_WassersteinDistance_A-B
120,A,B,7,PCF_A-B_gmax,547.0,8.718844027348457e-05,46,14,1.1414856551396049,1.015165872567858,7_A-B,PCF,PCF_gmax,7_PCF_A-B_gmax
121,A,B,7,PCF_A-B_rpeak,141.5,0.0016221622432386821,46,14,55.0,117.5,7_A-B,PCF,PCF_rpeak,7_PCF_A-B_rpeak
122,A,B,7,PCF_A-B_gmin,628.0,9.324501998469309e-08,46,14,0.8814975671052414,0.15530715860777267,7_A-B,PCF,PCF_gmin,7_PCF_A-B_gmin
123,A,B,7,PCF_A-B_rtrough,489.5,0.0031674497268382976,46,14,47.5,7.5,7_A-B,PCF,PCF_rtrough,7_PCF_A-B_rtrough
124,A,B,7,PCF_A-B_int0_20,626.0,1.1300483651485073e-07,46,14,20.405515921847886,4.152839655219001,7_A-B,PCF,PCF_int0_20,7_PCF_A-B_int0_20
125,A,B,7,PCF_A-B_int0_40,619.0,2.193779363460514e-07,46,14,40.19271416122736,15.31239571875199,7_A-B,PCF,PCF_int0_40,7_PCF_A-B_int0_40
126,A,B,7,PCF_A-B_int0_100,597.0,1.6056844265612919e-06,46,14,100.06755006463905,63.93555973251199,7_A-B,PCF,PCF_int0_100,7_PCF_A-B_int0_100
127,A,B,7,TCM_A-B_H0-nBars,230.5,0.11110263986299553,46,14,13.5,15.5,7_A-B,TCM,TCM_H0-nBars,7_TCM_A-B_H0-nBars
128,A,B,7,TCM_A-B_H1-nBars,209.0,0.04885869788043445,46,14,10.5,15.0,7_A-B,TCM,TCM_H1-nBars,7_TCM_A-B_H1-nBars
129,A,B,7,TCM_A-B_H0-death-mean,209.0,0.04927153827173904,46,14,1.782499643102772,6.317739256843925,7_A-B,TCM,TCM_H0-death-mean,7_TCM_A-B_H0-death-mean
130,A,B,7,TCM_A-B_H0-death-sd,344.0,0.7070884541586397,46,14,16.147202860279013,15.984023880557967,7_A-B,TCM,TCM_H0-death-sd,7_TCM_A-B_H0-death-sd
131,A,B,7,TCM_A-B_H1-birth-mean,269.0,0.3588408547618095,46,14,5.396845832447676,9.037055995058397,7_A-B,TCM,TCM_H1-birth-mean,7_TCM_A-B_H1-birth-mean
132,A,B,7,TCM_A-B_H1-death-mean,311.0,0.8543937836241379,46,14,18.58072115926661,19.341630140874994,7_A-B,TCM,TCM_H1-death-mean,7_TCM_A-B_H1-death-mean
133,A,B,7,TCM_A-B_H1-death-sd,356.0,0.5582109508471575,46,14,13.391451348828115,10.968481304450222,7_A-B,TCM,TCM_H1-death-sd,7_TCM_A-B_H1-death-sd
134,A,B,7,TCM_A-B_H1-persistence-mean,370.0,0.4064325745645103,46,14,9.326656109151932,6.860395266037239,7_A-B,TCM,TCM_H1-persistence-mean,7_TCM_A-B_H1-persistence-mean
135,A,B,7,TCM_A-B_H1-persistence-sd,341.0,0.7464405454688596,46,14,11.845272340425314,9.703627065978967,7_A-B,TCM,TCM_H1-persistence-sd,7_TCM_A-B_H1-persistence-sd
136,A,B,8,WassersteinDistance_A-B,469.0,0.3343345970194972,26,42,104.36500497884018,125.05635261710404,8_A-B,WassersteinDistance,WassersteinDistance,8_WassersteinDistance_A-B
137,A,B,8,PCF_A-B_gmax,557.0,0.8945820231192261,26,42,1.1244463482640394,1.1103333199290057,8_A-B,PCF,PCF_gmax,8_PCF_A-B_gmax
138,A,B,8,PCF_A-B_rpeak,609.0,0.4284904675414377,26,42,62.5,50.0,8_A-B,PCF,PCF_rpeak,8_PCF_A-B_rpeak
139,A,B,8,PCF_A-B_gmin,694.0,0.06268343512452189,26,42,0.9062137124907041,0.8140364211738149,8_A-B,PCF,PCF_gmin,8_PCF_A-B_gmin
140,A,B,8,PCF_A-B_rtrough,613.5,0.39264386925666706,26,42,35.0,17.5,8_A-B,PCF,PCF_rtrough,8_PCF_A-B_rtrough
141,A,B,8,PCF_A-B_int0_20,622.0,0.3406914569761066,26,42,19.68506760385533,19.028820235331843,8_A-B,PCF,PCF_int0_20,8_PCF_A-B_int0_20
142,A,B,8,PCF_A-B_int0_40,614.0,0.3943023555948272,26,42,40.02559598862075,38.62184080077438,8_A-B,PCF,PCF_int0_40,8_PCF_A-B_int0_40
143,A,B,8,PCF_A-B_int0_100,581.0,0.66328271186408,26,42,99.64382988617994,98.04876155316569,8_A-B,PCF,PCF_int0_100,8_PCF_A-B_int0_100
144,A,B,8,TCM_A-B_H0-nBars,523.0,0.7759572104382917,26,42,14.0,15.0,8_A-B,TCM,TCM_H0-nBars,8_TCM_A-B_H0-nBars
145,A,B,8,TCM_A-B_H1-nBars,430.0,0.14413445790596988,26,42,12.0,14.0,8_A-B,TCM,TCM_H1-nBars,8_TCM_A-B_H1-nBars
146,A,B,8,TCM_A-B_H0-death-mean,579.0,0.6816991005447003,26,42,1.1935699756011382,-0.6913861891826275,8_A-B,TCM,TCM_H0-death-mean,8_TCM_A-B_H0-death-mean
147,A,B,8,TCM_A-B_H0-death-sd,522.0,0.7667972141034636,26,42,14.496008221116629,13.991073151342293,8_A-B,TCM,TCM_H0-death-sd,8_TCM_A-B_H0-death-sd
148,A,B,8,TCM_A-B_H1-birth-mean,543.0,0.9748311840290906,26,42,4.786972900060414,5.022254267551438,8_A-B,TCM,TCM_H1-birth-mean,8_TCM_A-B_H1-birth-mean
149,A,B,8,TCM_A-B_H1-death-mean,574.0,0.7285565152007212,26,42,12.037252641386456,12.125984030110494,8_A-B,TCM,TCM_H1-death-mean,8_TCM_A-B_H1-death-mean
